idPago,idEmpleado,Fecha,Monto
192,96,2015-10-25,609
193,97,2015-09-25,644
194,97,2015-10-25,684
195,98,2015-09-25,550
196,98,2015-10-25,597
197,99,2015-09-25,500
198,99,2015-10-25,679
199,100,2015-09-25,664
200,100,2015-10-25,634
201,101,2015-09-25,1454
202,101,2015-10-25,1442
203,102,2015-09-25,1448
204,102,2015-10-25,1008
205,103,2015-09-25,1385
206,103,2015-10-25,1466
207,104,2015-09-25,1296
208,104,2015-10-25,1024
209,105,2015-09-25,1393
210,105,2015-10-25,1239
211,106,2015-09-25,513
212,106,2015-10-25,578
213,107,2015-09-25,639
214,107,2015-10-25,654
215,108,2015-09-25,539
216,108,2015-10-25,598
217,109,2015-09-25,630
218,109,2015-10-25,640
219,110,2015-09-25,688
220,110,2015-10-25,688
221,111,2015-10-25,1337
222,111,2015-09-25,1336
223,112,2015-10-25,1245
224,112,2015-09-25,1376
225,113,2015-10-25,1205
226,113,2015-09-25,1093
227,114,2015-10-25,1381
228,114,2015-09-25,1371
229,115,2015-10-25,1000
230,115,2015-09-25,1269
231,116,2015-10-25,580
232,116,2015-09-25,656
233,117,2015-10-25,624
234,117,2015-09-25,522
235,118,2015-10-25,536
236,118,2015-09-25,691
237,119,2015-09-25,535
238,119,2015-10-25,579
239,120,2015-09-25,604
240,120,2015-10-25,684
241,121,2015-10-25,1193
242,121,2015-09-25,1059
243,122,2015-10-25,1432
244,122,2015-09-25,1163
245,123,2015-10-25,1001
246,123,2015-09-25,1136
247,124,2015-10-25,1149
248,124,2015-09-25,1054
249,125,2015-10-25,1207
250,125,2015-09-25,1276
251,126,2015-09-25,528
252,126,2015-10-25,621
253,127,2015-09-25,533
254,127,2015-10-25,573
255,128,2015-09-25,593
256,128,2015-10-25,664
257,129,2015-09-25,503
258,129,2015-10-25,563
259,130,2015-09-25,528
260,130,2015-10-25,639
261,131,2015-09-25,1444
262,131,2015-10-25,1419
263,132,2015-09-25,1438
264,132,2015-10-25,1100
265,133,2015-09-25,1152
266,133,2015-10-25,1485
267,134,2015-09-25,1250
268,134,2015-10-25,1411
269,135,2015-09-25,1339
270,135,2015-10-25,1377
271,136,2015-09-25,635
272,136,2015-10-25,699
273,137,2015-09-25,575
274,137,2015-10-25,643
275,138,2015-09-25,537
276,138,2015-10-25,531
277,139,2015-09-25,630
278,139,2015-10-25,563
279,140,2015-09-25,510
280,140,2015-10-25,695
281,141,2015-09-25,1107
282,141,2015-10-25,1420
283,142,2015-09-25,1166
284,142,2015-10-25,1438
285,143,2015-09-25,1013
286,143,2015-10-25,1345
287,144,2015-09-25,1362
288,144,2015-10-25,1419
289,145,2015-09-25,1208
290,145,2015-10-25,1137
291,146,2015-09-25,688
292,146,2015-10-25,525
293,147,2015-09-25,599
294,147,2015-10-25,534
295,148,2015-09-25,596
296,148,2015-10-25,522
297,149,2015-09-25,600
298,149,2015-10-25,618
299,150,2015-09-25,606
300,150,2015-10-25,502
301,151,2015-09-25,1336
302,151,2015-10-25,1311
303,152,2015-09-25,1365
304,152,2015-10-25,1105
305,153,2015-09-25,1080
306,153,2015-10-25,1465
307,154,2015-09-25,1489
308,154,2015-10-25,1189
309,155,2015-09-25,1358
310,155,2015-10-25,1058
312,156,2015-10-25,685
313,157,2015-09-25,631
314,157,2015-10-25,580
311,156,2015-09-25,649
315,158,2015-09-25,624
316,158,2015-10-25,635
317,159,2015-09-25,610
318,159,2015-10-25,593
319,160,2015-09-25,558
320,160,2015-10-25,576
321,161,2015-09-25,1206
322,161,2015-10-25,1188
323,162,2015-09-25,1117
324,162,2015-10-25,1112
325,163,2015-09-25,1126
326,163,2015-10-25,1189
327,164,2015-09-25,1430
328,164,2015-10-25,1067
329,165,2015-09-25,1392
330,165,2015-10-25,1210
331,166,2015-09-25,614
332,166,2015-10-25,505
333,167,2015-09-25,628
334,167,2015-10-25,553
335,168,2015-09-25,543
336,168,2015-10-25,525
337,169,2015-09-25,601
338,169,2015-10-25,575
339,170,2015-09-25,528
340,170,2015-10-25,534
341,171,2015-09-25,1035
342,171,2015-10-25,1131
343,172,2015-09-25,1296
344,172,2015-10-25,1341
345,173,2015-09-25,1169
346,173,2015-10-25,1441
347,174,2015-09-25,1417
348,174,2015-10-25,1321
349,175,2015-09-25,1027
350,175,2015-10-25,1173
351,176,2015-09-25,557
352,176,2015-10-25,647
353,177,2015-09-25,664
354,177,2015-10-25,676
355,178,2015-09-25,511
356,178,2015-10-25,686
357,179,2015-09-25,641
358,179,2015-10-25,603
359,180,2015-09-25,600
360,180,2015-10-25,575
361,181,2015-09-25,1303
362,181,2015-10-25,1140
363,182,2015-09-25,1333
364,182,2015-10-25,1030
365,183,2015-09-25,1484
366,183,2015-10-25,1469
367,184,2015-09-25,1395
368,184,2015-10-25,1046
369,185,2015-09-25,1421
370,185,2015-10-25,1097
371,186,2015-09-25,636
372,186,2015-10-25,662
373,187,2015-09-25,632
374,187,2015-10-25,544
375,188,2015-09-25,586
376,188,2015-10-25,696
377,189,2015-09-25,681
378,189,2015-10-25,597
379,190,2015-09-25,570
380,190,2015-10-25,578
381,191,2015-09-25,1321
382,191,2015-10-25,1366
383,192,2015-09-25,1120
384,192,2015-10-25,1145
385,193,2015-09-25,1197
386,193,2015-10-25,1098
387,194,2015-09-25,1462
388,194,2015-10-25,1219
389,195,2015-09-25,1425
390,195,2015-10-25,1063
391,196,2015-09-25,631
392,196,2015-10-25,577
393,197,2015-09-25,665
394,197,2015-10-25,557
395,198,2015-09-25,613
396,198,2015-10-25,613
397,199,2015-09-25,507
398,199,2015-10-25,614
399,200,2015-09-25,572
400,200,2015-10-25,514
