idEmpleado,idVehiculo,Inicio,Fin
1130,228,'2012-01-01',
1131,229,'2012-01-01',
1132,230,'2012-01-01',
1153,231,'2012-01-01',
1154,232,'2012-01-01',
1155,233,'2012-01-01',
1156,234,'2012-01-01',
1157,235,'2012-01-01',
1178,236,'2012-01-01',
1179,237,'2012-01-01',
1180,238,'2012-01-01',
1181,239,'2012-01-01',
1182,240,'2012-01-01',
1203,241,'2012-01-01',
1204,242,'2012-01-01',
1205,243,'2012-01-01',
1206,244,'2012-01-01',
1207,245,'2012-01-01',
1228,246,'2012-01-01',
1229,247,'2012-01-01',
1230,248,'2012-01-01',
1231,249,'2012-01-01',
1232,250,'2012-01-01',
1253,251,'2012-01-01',
1254,252,'2012-01-01',
1255,253,'2012-01-01',
1256,254,'2012-01-01',
1257,255,'2012-01-01',
1278,256,'2012-01-01',
1279,257,'2012-01-01',
1280,258,'2012-01-01',
1281,259,'2012-01-01',
1282,260,'2012-01-01',
1303,261,'2012-01-01',
1304,262,'2012-01-01',
1305,263,'2012-01-01',
1306,264,'2012-01-01',
1307,265,'2012-01-01',
1328,266,'2012-01-01',
1329,267,'2012-01-01',
1330,268,'2012-01-01',
1331,269,'2012-01-01',
1332,270,'2012-01-01',
1353,271,'2012-01-01',
1354,272,'2012-01-01',
1355,273,'2012-01-01',
1356,274,'2012-01-01',
1357,275,'2012-01-01',
1378,276,'2012-01-01',
1379,277,'2012-01-01',
1380,278,'2012-01-01',
1381,279,'2012-01-01',
1382,280,'2012-01-01',
1403,281,'2012-01-01',
1404,282,'2012-01-01',
1405,283,'2012-01-01',
1406,284,'2012-01-01',
1407,285,'2012-01-01',
1428,286,'2012-01-01',
1429,287,'2012-01-01',
1430,288,'2012-01-01',
1431,289,'2012-01-01',
1432,290,'2012-01-01',
1453,291,'2012-01-01',
1454,292,'2012-01-01',
1455,293,'2012-01-01',
1456,294,'2012-01-01',
1457,295,'2012-01-01',
1478,296,'2012-01-01',
1479,297,'2012-01-01',
1480,298,'2012-01-01',
1481,299,'2012-01-01',
1482,300,'2012-01-01',
1503,301,'2012-01-01',
1504,302,'2012-01-01',
1505,303,'2012-01-01',
1506,304,'2012-01-01',
1507,305,'2012-01-01',
1528,306,'2012-01-01',
1529,307,'2012-01-01',
1530,308,'2012-01-01',
1531,309,'2012-01-01',
1532,310,'2012-01-01',
1553,311,'2012-01-01',
1554,312,'2012-01-01',
1555,313,'2012-01-01',
1556,314,'2012-01-01',
1557,315,'2012-01-01',
1578,316,'2012-01-01',
1579,317,'2012-01-01',
1580,318,'2012-01-01',
1581,319,'2012-01-01',
1582,320,'2012-01-01',
1603,321,'2012-01-01',
1604,322,'2012-01-01',
1605,323,'2012-01-01',
1606,324,'2012-01-01',
1607,325,'2012-01-01',
1628,326,'2012-01-01',
1629,327,'2012-01-01',
1630,328,'2012-01-01',
1631,329,'2012-01-01',
1632,330,'2012-01-01',
1653,331,'2012-01-01',
1654,332,'2012-01-01',
1655,333,'2012-01-01',
1656,334,'2012-01-01',
1657,335,'2012-01-01',
1678,336,'2012-01-01',
1679,337,'2012-01-01',
1680,338,'2012-01-01',
1681,339,'2012-01-01',
1682,340,'2012-01-01',
1703,341,'2012-01-01',
1704,342,'2012-01-01',
1705,343,'2012-01-01',
1706,344,'2012-01-01',
1707,345,'2012-01-01',
1728,346,'2012-01-01',
1729,347,'2012-01-01',
1730,348,'2012-01-01',
1731,349,'2012-01-01',
1732,350,'2012-01-01',
1753,351,'2012-01-01',
1754,352,'2012-01-01',
1755,353,'2012-01-01',
1756,354,'2012-01-01',
1757,355,'2012-01-01',
1778,356,'2012-01-01',
1779,357,'2012-01-01',
1780,358,'2012-01-01',
1781,359,'2012-01-01',
1782,360,'2012-01-01',
1803,361,'2012-01-01',
1804,362,'2012-01-01',
1805,363,'2012-01-01',
1806,364,'2012-01-01',
1807,365,'2012-01-01',
1828,366,'2012-01-01',
1829,367,'2012-01-01',
1830,368,'2012-01-01',
1831,369,'2012-01-01',
1832,370,'2012-01-01',
1853,371,'2012-01-01',
1854,372,'2012-01-01',
1855,373,'2012-01-01',
1856,374,'2012-01-01',
1857,375,'2012-01-01',
1878,376,'2012-01-01',
1879,377,'2012-01-01',
1880,378,'2012-01-01',
1881,379,'2012-01-01',
1882,380,'2012-01-01',
1903,381,'2012-01-01',
1904,382,'2012-01-01',
1905,383,'2012-01-01',
1906,384,'2012-01-01',
1907,385,'2012-01-01',
1928,386,'2012-01-01',
1929,387,'2012-01-01',
1930,388,'2012-01-01',
1931,389,'2012-01-01',
1932,390,'2012-01-01',
1953,391,'2012-01-01',
1954,392,'2012-01-01',
1955,393,'2012-01-01',
1956,394,'2012-01-01',
1957,395,'2012-01-01',
1978,396,'2012-01-01',
1979,397,'2012-01-01',
1980,398,'2012-01-01',
1981,399,'2012-01-01',
1982,400,'2012-01-01',
2003,401,'2012-01-01',
2004,402,'2012-01-01',
2005,403,'2012-01-01',
2006,404,'2012-01-01',
2007,405,'2012-01-01',
2028,406,'2012-01-01',
2029,407,'2012-01-01',
2030,408,'2012-01-01',
2031,409,'2012-01-01',
2032,410,'2012-01-01',
2053,411,'2012-01-01',
2054,412,'2012-01-01',
2055,413,'2012-01-01',
2056,414,'2012-01-01',
2057,415,'2012-01-01',
2078,416,'2012-01-01',
2079,417,'2012-01-01',
2080,418,'2012-01-01',
2081,419,'2012-01-01',
2082,420,'2012-01-01',
2103,421,'2012-01-01',
2104,422,'2012-01-01',
2105,423,'2012-01-01',
2106,424,'2012-01-01',
2107,425,'2012-01-01',
2128,426,'2012-01-01',
2129,427,'2012-01-01',
2130,428,'2012-01-01',
2131,429,'2012-01-01',
2132,430,'2012-01-01',
2153,431,'2012-01-01',
2154,432,'2012-01-01',
2155,433,'2012-01-01',
2156,434,'2012-01-01',
2157,435,'2012-01-01',
2178,436,'2012-01-01',
2179,437,'2012-01-01',
2180,438,'2012-01-01',
2181,439,'2012-01-01',
2182,440,'2012-01-01',
2203,441,'2012-01-01',
2204,442,'2012-01-01',
2205,443,'2012-01-01',
2206,444,'2012-01-01',
2207,445,'2012-01-01',
2228,446,'2012-01-01',
2229,447,'2012-01-01',
2230,448,'2012-01-01',
2231,449,'2012-01-01',
2232,450,'2012-01-01',
2253,451,'2012-01-01',
2254,452,'2012-01-01',
2255,453,'2012-01-01',
2256,454,'2012-01-01',
2257,455,'2012-01-01',
2278,456,'2012-01-01',
2279,457,'2012-01-01',
2280,458,'2012-01-01',
2281,459,'2012-01-01',
2282,460,'2012-01-01',
2303,461,'2012-01-01',
2304,462,'2012-01-01',
2305,463,'2012-01-01',
2306,464,'2012-01-01',
2307,465,'2012-01-01',
2328,466,'2012-01-01',
2329,467,'2012-01-01',
2330,468,'2012-01-01',
2331,469,'2012-01-01',
2332,470,'2012-01-01',
2353,471,'2012-01-01',
2354,472,'2012-01-01',
2355,473,'2012-01-01',
2356,474,'2012-01-01',
2357,475,'2012-01-01',
2378,476,'2012-01-01',
2379,477,'2012-01-01',
2380,478,'2012-01-01',
2381,479,'2012-01-01',
2382,480,'2012-01-01',
2403,481,'2012-01-01',
2404,482,'2012-01-01',
2405,483,'2012-01-01',
2406,484,'2012-01-01',
2407,485,'2012-01-01',
2428,486,'2012-01-01',
2429,487,'2012-01-01',
2430,488,'2012-01-01',
2431,489,'2012-01-01',
2432,490,'2012-01-01',
2453,491,'2012-01-01',
2454,492,'2012-01-01',
2455,493,'2012-01-01',
2456,494,'2012-01-01',
2457,495,'2012-01-01',
2478,496,'2012-01-01',
2479,497,'2012-01-01',
2480,498,'2012-01-01',
2481,499,'2012-01-01',
2482,500,'2012-01-01',
