idEmpleado,idPuesto,idPersona,idParque,Descripcion
67,4,487,7,'Conservacion de Habitat Animal'
68,4,488,7,'Mantenimiento de Instalaciones'
69,4,490,7,'Conservacion de Habitat Animal'
70,4,491,7,'Mantenimiento de Instalaciones'
71,2,478,8,'Administracion'
72,2,482,8,'Administracion'
73,3,483,8,'Licenciatura en Zoologia'
74,3,484,8,'Bachillerato en Botanica'
75,3,485,8,'Doctorado en Vida Marina'
76,4,486,8,'Mantenimiento de Rutas'
77,4,487,8,'Conservacion de Habitat Animal'
78,4,488,8,'Mantenimiento de Instalaciones'
79,4,490,8,'Conservacion de Habitat Animal'
80,4,491,8,'Mantenimiento de Instalaciones'
81,2,478,9,'Administracion'
82,2,482,9,'Administracion'
83,3,483,9,'Licenciatura en Zoologia'
84,3,484,9,'Bachillerato en Botanica'
85,3,485,9,'Doctorado en Vida Marina'
86,4,486,9,'Mantenimiento de Rutas'
87,4,487,9,'Conservacion de Habitat Animal'
88,4,488,9,'Mantenimiento de Instalaciones'
89,4,490,9,'Conservacion de Habitat Animal'
90,4,491,9,'Mantenimiento de Instalaciones'
91,2,478,10,'Administracion'
92,2,482,10,'Administracion'
93,3,483,10,'Licenciatura en Zoologia'
94,3,484,10,'Bachillerato en Botanica'
95,3,485,10,'Doctorado en Vida Marina'
96,4,486,10,'Mantenimiento de Rutas'
97,4,487,10,'Conservacion de Habitat Animal'
98,4,488,10,'Mantenimiento de Instalaciones'
99,4,490,10,'Conservacion de Habitat Animal'
100,4,491,10,'Mantenimiento de Instalaciones'
101,2,478,11,'Administracion'
102,2,482,11,'Administracion'
103,3,483,11,'Licenciatura en Zoologia'
104,3,484,11,'Bachillerato en Botanica'
105,3,485,11,'Doctorado en Vida Marina'
106,4,486,11,'Mantenimiento de Rutas'
107,4,487,11,'Conservacion de Habitat Animal'
108,4,488,11,'Mantenimiento de Instalaciones'
109,4,490,11,'Conservacion de Habitat Animal'
110,4,491,11,'Mantenimiento de Instalaciones'
111,2,478,12,'Administracion'
112,2,482,12,'Administracion'
113,3,483,12,'Licenciatura en Zoologia'
114,3,484,12,'Bachillerato en Botanica'
115,3,485,12,'Doctorado en Vida Marina'
116,4,486,12,'Mantenimiento de Rutas'
117,4,487,12,'Conservacion de Habitat Animal'
118,4,488,12,'Mantenimiento de Instalaciones'
119,4,490,12,'Conservacion de Habitat Animal'
120,4,491,12,'Mantenimiento de Instalaciones'
121,2,478,13,'Administracion'
122,2,482,13,'Administracion'
123,3,483,13,'Licenciatura en Zoologia'
124,3,484,13,'Bachillerato en Botanica'
125,3,485,13,'Doctorado en Vida Marina'
126,4,486,13,'Mantenimiento de Rutas'
127,4,487,13,'Conservacion de Habitat Animal'
128,4,488,13,'Mantenimiento de Instalaciones'
129,4,490,13,'Conservacion de Habitat Animal'
130,4,491,13,'Mantenimiento de Instalaciones'
131,2,478,14,'Administracion'
132,2,482,14,'Administracion'
133,3,483,14,'Licenciatura en Zoologia'
134,3,484,14,'Bachillerato en Botanica'
135,3,485,14,'Doctorado en Vida Marina'
136,4,486,14,'Mantenimiento de Rutas'
137,4,487,14,'Conservacion de Habitat Animal'
138,4,488,14,'Mantenimiento de Instalaciones'
139,4,490,14,'Conservacion de Habitat Animal'
140,4,491,14,'Mantenimiento de Instalaciones'
141,2,478,15,'Administracion'
142,2,482,15,'Administracion'
143,3,483,15,'Licenciatura en Zoologia'
144,3,484,15,'Bachillerato en Botanica'
145,3,485,15,'Doctorado en Vida Marina'
146,4,486,15,'Mantenimiento de Rutas'
147,4,487,15,'Conservacion de Habitat Animal'
148,4,488,15,'Mantenimiento de Instalaciones'
149,4,490,15,'Conservacion de Habitat Animal'
150,4,491,15,'Mantenimiento de Instalaciones'
151,2,478,16,'Administracion'
152,2,482,16,'Administracion'
153,3,483,16,'Licenciatura en Zoologia'
154,3,484,16,'Bachillerato en Botanica'
155,3,485,16,'Doctorado en Vida Marina'
156,4,486,16,'Mantenimiento de Rutas'
157,4,487,16,'Conservacion de Habitat Animal'
158,4,488,16,'Mantenimiento de Instalaciones'
159,4,490,16,'Conservacion de Habitat Animal'
160,4,491,16,'Mantenimiento de Instalaciones'
161,2,478,17,'Administracion'
162,2,482,17,'Administracion'
163,3,483,17,'Licenciatura en Zoologia'
164,3,484,17,'Bachillerato en Botanica'
165,3,485,17,'Doctorado en Vida Marina'
166,4,486,17,'Mantenimiento de Rutas'
167,4,487,17,'Conservacion de Habitat Animal'
168,4,488,17,'Mantenimiento de Instalaciones'
169,4,490,17,'Conservacion de Habitat Animal'
170,4,491,17,'Mantenimiento de Instalaciones'
171,2,478,18,'Administracion'
172,2,482,18,'Administracion'
173,3,483,18,'Licenciatura en Zoologia'
174,3,484,18,'Bachillerato en Botanica'
175,3,485,18,'Doctorado en Vida Marina'
176,4,486,18,'Mantenimiento de Rutas'
177,4,487,18,'Conservacion de Habitat Animal'
178,4,488,18,'Mantenimiento de Instalaciones'
179,4,490,18,'Conservacion de Habitat Animal'
180,4,491,18,'Mantenimiento de Instalaciones'
181,2,478,19,'Administracion'
182,2,482,19,'Administracion'
183,3,483,19,'Licenciatura en Zoologia'
184,3,484,19,'Bachillerato en Botanica'
185,3,485,19,'Doctorado en Vida Marina'
186,4,486,19,'Mantenimiento de Rutas'
187,4,487,19,'Conservacion de Habitat Animal'
188,4,488,19,'Mantenimiento de Instalaciones'
189,4,490,19,'Conservacion de Habitat Animal'
190,4,491,19,'Mantenimiento de Instalaciones'
191,2,478,20,'Administracion'
192,2,482,20,'Administracion'
193,3,483,20,'Licenciatura en Zoologia'
194,3,484,20,'Bachillerato en Botanica'
195,3,485,20,'Doctorado en Vida Marina'
196,4,486,20,'Mantenimiento de Rutas'
197,4,487,20,'Conservacion de Habitat Animal'
198,4,488,20,'Mantenimiento de Instalaciones'
199,4,490,20,'Conservacion de Habitat Animal'
200,4,491,20,'Mantenimiento de Instalaciones'
