idEmpleado,idPuesto,idPersona,Salario,idParque,Descripcion
89,4,89,731,4,'Mantenimiento de Rutas'
90,4,90,677,4,'Conservacion de Habitat Animal'
91,4,91,706,4,'Mantenimiento de Instalaciones'
92,4,92,679,4,'Mantenimiento de Rutas'
93,4,93,708,4,'Conservacion de Habitat Animal'
94,4,94,758,4,'Mantenimiento de Instalaciones'
95,4,95,505,4,'Mantenimiento de Rutas'
96,4,96,700,4,'Conservacion de Habitat Animal'
97,4,97,740,4,'Mantenimiento de Instalaciones'
98,4,98,687,4,'Mantenimiento de Rutas'
99,4,99,745,4,'Conservacion de Habitat Animal'
100,4,100,768,4,'Mantenimiento de Instalaciones'
101,1,101,1178,5,'1'
102,1,102,1436,5,'2'
103,2,103,1219,5,NULL
104,2,104,1003,5,NULL
105,2,105,1328,5,NULL
106,2,106,1332,5,NULL
107,2,107,1356,5,NULL
108,3,108,1387,5,'Licenciatura en Zoologia'
109,3,109,1317,5,'Bachillerato en Botanica'
110,3,110,1398,5,'Doctorado en Vida Marina'
111,4,111,509,5,'Mantenimiento de Rutas'
112,4,112,698,5,'Conservacion de Habitat Animal'
113,4,113,712,5,'Mantenimiento de Instalaciones'
114,4,114,614,5,'Mantenimiento de Rutas'
115,4,115,794,5,'Conservacion de Habitat Animal'
116,4,116,722,5,'Mantenimiento de Instalaciones'
117,4,117,739,5,'Mantenimiento de Rutas'
118,4,118,665,5,'Conservacion de Habitat Animal'
119,4,119,709,5,'Mantenimiento de Instalaciones'
120,4,120,590,5,'Mantenimiento de Rutas'
121,4,121,755,5,'Conservacion de Habitat Animal'
122,4,122,727,5,'Mantenimiento de Instalaciones'
123,4,123,727,5,'Mantenimiento de Rutas'
124,4,124,661,5,'Conservacion de Habitat Animal'
125,4,125,700,5,'Mantenimiento de Instalaciones'
126,1,126,1125,6,'1'
127,1,127,1060,6,'2'
128,2,128,1201,6,NULL
129,2,129,1481,6,NULL
130,2,130,1205,6,NULL
131,2,131,1013,6,NULL
132,2,132,1495,6,NULL
133,3,133,1490,6,'Licenciatura en Zoologia'
134,3,134,1078,6,'Bachillerato en Botanica'
135,3,135,1075,6,'Doctorado en Vida Marina'
136,4,136,564,6,'Mantenimiento de Rutas'
137,4,137,765,6,'Conservacion de Habitat Animal'
138,4,138,702,6,'Mantenimiento de Instalaciones'
139,4,139,561,6,'Mantenimiento de Rutas'
140,4,140,681,6,'Conservacion de Habitat Animal'
141,4,141,772,6,'Mantenimiento de Instalaciones'
142,4,142,585,6,'Mantenimiento de Rutas'
143,4,143,676,6,'Conservacion de Habitat Animal'
144,4,144,789,6,'Mantenimiento de Instalaciones'
145,4,145,670,6,'Mantenimiento de Rutas'
146,4,146,610,6,'Conservacion de Habitat Animal'
147,4,147,749,6,'Mantenimiento de Instalaciones'
148,4,148,635,6,'Mantenimiento de Rutas'
149,4,149,703,6,'Conservacion de Habitat Animal'
150,4,150,717,6,'Mantenimiento de Instalaciones'
151,1,151,1273,7,'1'
152,1,152,1422,7,'2'
153,2,153,1247,7,NULL
154,2,154,1470,7,NULL
155,2,155,1454,7,NULL
156,2,156,1310,7,NULL
157,2,157,1422,7,NULL
158,3,158,1287,7,'Licenciatura en Zoologia'
159,3,159,1068,7,'Bachillerato en Botanica'
160,3,160,1462,7,'Doctorado en Vida Marina'
161,4,161,663,7,'Mantenimiento de Rutas'
162,4,162,777,7,'Conservacion de Habitat Animal'
163,4,163,764,7,'Mantenimiento de Instalaciones'
164,4,164,620,7,'Mantenimiento de Rutas'
165,4,165,620,7,'Conservacion de Habitat Animal'
166,4,166,748,7,'Mantenimiento de Instalaciones'
167,4,167,661,7,'Mantenimiento de Rutas'
168,4,168,729,7,'Conservacion de Habitat Animal'
169,4,169,783,7,'Mantenimiento de Instalaciones'
170,4,170,683,7,'Mantenimiento de Rutas'
171,4,171,709,7,'Conservacion de Habitat Animal'
172,4,172,745,7,'Mantenimiento de Instalaciones'
173,4,173,696,7,'Mantenimiento de Rutas'
174,4,174,607,7,'Conservacion de Habitat Animal'
175,4,175,738,7,'Mantenimiento de Instalaciones'
176,1,176,1466,8,'1'
177,1,177,1482,8,'2'
178,2,178,1144,8,NULL
179,2,179,1053,8,NULL
180,2,180,1026,8,NULL
181,2,181,1483,8,NULL
182,2,182,1096,8,NULL
183,3,183,1219,8,'Licenciatura en Zoologia'
184,3,184,1381,8,'Bachillerato en Botanica'
185,3,185,1019,8,'Doctorado en Vida Marina'
186,4,186,643,8,'Mantenimiento de Rutas'
187,4,187,796,8,'Conservacion de Habitat Animal'
188,4,188,781,8,'Mantenimiento de Instalaciones'
189,4,189,594,8,'Mantenimiento de Rutas'
190,4,190,750,8,'Conservacion de Habitat Animal'
191,4,191,751,8,'Mantenimiento de Instalaciones'
192,4,192,735,8,'Mantenimiento de Rutas'
193,4,193,690,8,'Conservacion de Habitat Animal'
194,4,194,730,8,'Mantenimiento de Instalaciones'
195,4,195,599,8,'Mantenimiento de Rutas'
196,4,196,769,8,'Conservacion de Habitat Animal'
197,4,197,726,8,'Mantenimiento de Instalaciones'
198,4,198,539,8,'Mantenimiento de Rutas'
199,4,199,618,8,'Conservacion de Habitat Animal'
200,4,200,786,8,'Mantenimiento de Instalaciones'
201,1,201,1171,9,'1'
202,1,202,1353,9,'2'
203,2,203,1435,9,NULL
204,2,204,1002,9,NULL
205,2,205,1308,9,NULL
206,2,206,1042,9,NULL
207,2,207,1422,9,NULL
208,3,208,1266,9,'Licenciatura en Zoologia'
209,3,209,1393,9,'Bachillerato en Botanica'
210,3,210,1461,9,'Doctorado en Vida Marina'
211,4,211,590,9,'Mantenimiento de Rutas'
212,4,212,688,9,'Conservacion de Habitat Animal'
213,4,213,762,9,'Mantenimiento de Instalaciones'
214,4,214,673,9,'Mantenimiento de Rutas'
215,4,215,623,9,'Conservacion de Habitat Animal'
216,4,216,772,9,'Mantenimiento de Instalaciones'
217,4,217,513,9,'Mantenimiento de Rutas'
218,4,218,687,9,'Conservacion de Habitat Animal'
219,4,219,762,9,'Mantenimiento de Instalaciones'
220,4,220,619,9,'Mantenimiento de Rutas'
221,4,221,624,9,'Conservacion de Habitat Animal'
222,4,222,706,9,'Mantenimiento de Instalaciones'
223,4,223,584,9,'Mantenimiento de Rutas'
224,4,224,798,9,'Conservacion de Habitat Animal'
225,4,225,745,9,'Mantenimiento de Instalaciones'
226,1,226,1267,10,'1'
227,1,227,1468,10,'2'
228,2,228,1046,10,NULL
229,2,229,1354,10,NULL
230,2,230,1105,10,NULL
231,2,231,1135,10,NULL
232,2,232,1316,10,NULL
233,3,233,1499,10,'Licenciatura en Zoologia'
234,3,234,1132,10,'Bachillerato en Botanica'
235,3,235,1444,10,'Doctorado en Vida Marina'
236,4,236,173910,'Mantenimiento de Rutas'
237,4,237,167810,'Conservacion de Habitat Animal'
238,4,238,171510,'Mantenimiento de Instalaciones'
239,4,239,168110,'Mantenimiento de Rutas'
240,4,240,172910,'Conservacion de Habitat Animal'
241,4,241,171610,'Mantenimiento de Instalaciones'
242,4,242,155710,'Mantenimiento de Rutas'
243,4,243,170310,'Conservacion de Habitat Animal'
244,4,244,170010,'Mantenimiento de Instalaciones'
245,4,245,162710,'Mantenimiento de Rutas'
246,4,246,164010,'Conservacion de Habitat Animal'
247,4,247,176810,'Mantenimiento de Instalaciones'
248,4,248,165610,'Mantenimiento de Rutas'
249,4,249,171310,'Conservacion de Habitat Animal'
250,4,250,179610,'Mantenimiento de Instalaciones'
251,1,251,1096,11,'1'
252,1,252,1101,11,'2'
253,2,253,1145,11,NULL
254,2,254,1295,11,NULL
255,2,255,1180,11,NULL
256,2,256,1307,11,NULL
257,2,257,1439,11,NULL
258,3,258,1140,11,'Licenciatura en Zoologia'
259,3,259,1132,11,'Bachillerato en Botanica'
260,3,260,1400,11,'Doctorado en Vida Marina'
261,4,261,174011,'Mantenimiento de Rutas'
262,4,262,167911,'Conservacion de Habitat Animal'
263,4,263,175811,'Mantenimiento de Instalaciones'
264,4,264,155211,'Mantenimiento de Rutas'
265,4,265,170011,'Conservacion de Habitat Animal'
266,4,266,176211,'Mantenimiento de Instalaciones'
267,4,267,171311,'Mantenimiento de Rutas'
268,4,268,172811,'Conservacion de Habitat Animal'
269,4,269,176711,'Mantenimiento de Instalaciones'
270,4,270,153711,'Mantenimiento de Rutas'
271,4,271,172411,'Conservacion de Habitat Animal'
272,4,272,176711,'Mantenimiento de Instalaciones'
273,4,273,156411,'Mantenimiento de Rutas'
274,4,274,172111,'Conservacion de Habitat Animal'
275,4,275,176511,'Mantenimiento de Instalaciones'
276,1,276,1358,12,'1'
277,1,277,1371,12,'2'
278,2,278,1294,12,NULL
279,2,279,1238,12,NULL
280,2,280,1264,12,NULL
281,2,281,1142,12,NULL
282,2,282,1091,12,NULL
283,3,283,1129,12,'Licenciatura en Zoologia'
284,3,284,1030,12,'Bachillerato en Botanica'
285,3,285,1232,12,'Doctorado en Vida Marina'
286,4,286,157712,'Mantenimiento de Rutas'
287,4,287,169612,'Conservacion de Habitat Animal'
288,4,288,178612,'Mantenimiento de Instalaciones'
289,4,289,164812,'Mantenimiento de Rutas'
290,4,290,171212,'Conservacion de Habitat Animal'
291,4,291,178012,'Mantenimiento de Instalaciones'
292,4,292,162512,'Mantenimiento de Rutas'
293,4,293,167012,'Conservacion de Habitat Animal'
294,4,294,179612,'Mantenimiento de Instalaciones'
295,4,295,151712,'Mantenimiento de Rutas'
296,4,296,177512,'Conservacion de Habitat Animal'
297,4,297,178812,'Mantenimiento de Instalaciones'
298,4,298,153412,'Mantenimiento de Rutas'
299,4,299,168812,'Conservacion de Habitat Animal'
300,4,300,170712,'Mantenimiento de Instalaciones'
301,1,301,1076,13,'1'
302,1,302,1058,13,'2'
303,2,303,1194,13,NULL
304,2,304,1193,13,NULL
305,2,305,1484,13,NULL
306,2,306,1194,13,NULL
307,2,307,1067,13,NULL
308,3,308,1254,13,'Licenciatura en Zoologia'
309,3,309,1287,13,'Bachillerato en Botanica'
310,3,310,1351,13,'Doctorado en Vida Marina'
311,4,311,170613,'Mantenimiento de Rutas'
312,4,312,160113,'Conservacion de Habitat Animal'
313,4,313,174313,'Mantenimiento de Instalaciones'
314,4,314,164513,'Mantenimiento de Rutas'
315,4,315,170313,'Conservacion de Habitat Animal'
316,4,316,175313,'Mantenimiento de Instalaciones'
317,4,317,162413,'Mantenimiento de Rutas'
318,4,318,168313,'Conservacion de Habitat Animal'
319,4,319,175113,'Mantenimiento de Instalaciones'
320,4,320,151113,'Mantenimiento de Rutas'
321,4,321,166713,'Conservacion de Habitat Animal'
322,4,322,171613,'Mantenimiento de Instalaciones'
323,4,323,161113,'Mantenimiento de Rutas'
324,4,324,168313,'Conservacion de Habitat Animal'
325,4,325,175113,'Mantenimiento de Instalaciones'
326,1,326,1298,14,'1'
327,1,327,1465,14,'2'
328,2,328,1493,14,NULL
329,2,329,1095,14,NULL
330,2,330,1062,14,NULL
331,2,331,1316,14,NULL
332,2,332,1059,14,NULL
333,3,333,1169,14,'Licenciatura en Zoologia'
334,3,334,1136,14,'Bachillerato en Botanica'
335,3,335,1162,14,'Doctorado en Vida Marina'
336,4,336,157914,'Mantenimiento de Rutas'
337,4,337,162614,'Conservacion de Habitat Animal'
338,4,338,170514,'Mantenimiento de Instalaciones'
339,4,339,167214,'Mantenimiento de Rutas'
340,4,340,163114,'Conservacion de Habitat Animal'
341,4,341,174614,'Mantenimiento de Instalaciones'
342,4,342,161314,'Mantenimiento de Rutas'
343,4,343,176114,'Conservacion de Habitat Animal'
344,4,344,173114,'Mantenimiento de Instalaciones'
345,4,345,170114,'Mantenimiento de Rutas'
346,4,346,176614,'Conservacion de Habitat Animal'
347,4,347,172014,'Mantenimiento de Instalaciones'
348,4,348,165114,'Mantenimiento de Rutas'
349,4,349,177914,'Conservacion de Habitat Animal'
350,4,350,175914,'Mantenimiento de Instalaciones'
351,1,351,1423,15,'1'
352,1,352,1485,15,'2'
353,2,353,1056,15,NULL
354,2,354,1280,15,NULL
355,2,355,1361,15,NULL
356,2,356,1244,15,NULL
357,2,357,1368,15,NULL
358,3,358,1057,15,'Licenciatura en Zoologia'
359,3,359,1373,15,'Bachillerato en Botanica'
360,3,360,1293,15,'Doctorado en Vida Marina'
361,4,361,152615,'Mantenimiento de Rutas'
362,4,362,165815,'Conservacion de Habitat Animal'
363,4,363,173015,'Mantenimiento de Instalaciones'
364,4,364,156715,'Mantenimiento de Rutas'
365,4,365,175215,'Conservacion de Habitat Animal'
366,4,366,178515,'Mantenimiento de Instalaciones'
367,4,367,155115,'Mantenimiento de Rutas'
368,4,368,179115,'Conservacion de Habitat Animal'
369,4,369,173515,'Mantenimiento de Instalaciones'
370,4,370,160415,'Mantenimiento de Rutas'
371,4,371,160215,'Conservacion de Habitat Animal'
372,4,372,179815,'Mantenimiento de Instalaciones'
373,4,373,161115,'Mantenimiento de Rutas'
374,4,374,172215,'Conservacion de Habitat Animal'
375,4,375,171915,'Mantenimiento de Instalaciones'
376,1,376,1461,16,'1'
377,1,377,1404,16,'2'
378,2,378,1128,16,NULL
379,2,379,1006,16,NULL
380,2,380,1482,16,NULL
381,2,381,1161,16,NULL
382,2,382,1312,16,NULL
383,3,383,1253,16,'Licenciatura en Zoologia'
384,3,384,1246,16,'Bachillerato en Botanica'
385,3,385,1429,16,'Doctorado en Vida Marina'
386,4,386,151316,'Mantenimiento de Rutas'
387,4,387,175316,'Conservacion de Habitat Animal'
388,4,388,178216,'Mantenimiento de Instalaciones'
389,4,389,166516,'Mantenimiento de Rutas'
390,4,390,165816,'Conservacion de Habitat Animal'
391,4,391,177616,'Mantenimiento de Instalaciones'
392,4,392,167816,'Mantenimiento de Rutas'
393,4,393,168816,'Conservacion de Habitat Animal'
394,4,394,175316,'Mantenimiento de Instalaciones'
395,4,395,153716,'Mantenimiento de Rutas'
396,4,396,164516,'Conservacion de Habitat Animal'
397,4,397,176316,'Mantenimiento de Instalaciones'
398,4,398,157016,'Mantenimiento de Rutas'
399,4,399,169516,'Conservacion de Habitat Animal'
400,4,400,176316,'Mantenimiento de Instalaciones'
401,1,401,1413,17,'1'
402,1,402,1089,17,'2'
403,2,403,1209,17,NULL
404,2,404,1160,17,NULL
405,2,405,1166,17,NULL
406,2,406,1208,17,NULL
407,2,407,1347,17,NULL
408,3,408,1220,17,'Licenciatura en Zoologia'
409,3,409,1399,17,'Bachillerato en Botanica'
410,3,410,1009,17,'Doctorado en Vida Marina'
411,4,411,170117,'Mantenimiento de Rutas'
412,4,412,166117,'Conservacion de Habitat Animal'
413,4,413,171717,'Mantenimiento de Instalaciones'
414,4,414,162117,'Mantenimiento de Rutas'
415,4,415,162317,'Conservacion de Habitat Animal'
416,4,416,175017,'Mantenimiento de Instalaciones'
417,4,417,168617,'Mantenimiento de Rutas'
418,4,418,164417,'Conservacion de Habitat Animal'
419,4,419,173017,'Mantenimiento de Instalaciones'
420,4,420,155217,'Mantenimiento de Rutas'
421,4,421,163717,'Conservacion de Habitat Animal'
422,4,422,173617,'Mantenimiento de Instalaciones'
423,4,423,168317,'Mantenimiento de Rutas'
424,4,424,171717,'Conservacion de Habitat Animal'
425,4,425,174717,'Mantenimiento de Instalaciones'
426,1,426,1204,18,'1'
427,1,427,1319,18,'2'
428,2,428,1434,18,NULL
429,2,429,1188,18,NULL
430,2,430,1339,18,NULL
431,2,431,1423,18,NULL
432,2,432,1447,18,NULL
433,3,433,1111,18,'Licenciatura en Zoologia'
434,3,434,1046,18,'Bachillerato en Botanica'
435,3,435,1443,18,'Doctorado en Vida Marina'
436,4,436,168718,'Mantenimiento de Rutas'
437,4,437,169518,'Conservacion de Habitat Animal'
438,4,438,171118,'Mantenimiento de Instalaciones'
439,4,439,173018,'Mantenimiento de Rutas'
440,4,440,161118,'Conservacion de Habitat Animal'
441,4,441,177318,'Mantenimiento de Instalaciones'
442,4,442,164818,'Mantenimiento de Rutas'
443,4,443,174118,'Conservacion de Habitat Animal'
444,4,444,179018,'Mantenimiento de Instalaciones'
445,4,445,152218,'Mantenimiento de Rutas'
446,4,446,173418,'Conservacion de Habitat Animal'
447,4,447,175918,'Mantenimiento de Instalaciones'
448,4,448,156718,'Mantenimiento de Rutas'
449,4,449,170918,'Conservacion de Habitat Animal'
450,4,450,175818,'Mantenimiento de Instalaciones'
451,1,451,1268,19,'1'
452,1,452,1453,19,'2'
453,2,453,1459,19,NULL
454,2,454,1120,19,NULL
455,2,455,1382,19,NULL
456,2,456,1344,19,NULL
457,2,457,1008,19,NULL
458,3,458,1175,19,'Licenciatura en Zoologia'
459,3,459,1265,19,'Bachillerato en Botanica'
460,3,460,1112,19,'Doctorado en Vida Marina'
461,4,461,164319,'Mantenimiento de Rutas'
462,4,462,164019,'Conservacion de Habitat Animal'
463,4,463,170019,'Mantenimiento de Instalaciones'
464,4,464,158019,'Mantenimiento de Rutas'
465,4,465,160019,'Conservacion de Habitat Animal'
466,4,466,176819,'Mantenimiento de Instalaciones'
467,4,467,150919,'Mantenimiento de Rutas'
468,4,468,165819,'Conservacion de Habitat Animal'
469,4,469,170419,'Mantenimiento de Instalaciones'
470,4,470,151419,'Mantenimiento de Rutas'
471,4,471,160319,'Conservacion de Habitat Animal'
472,4,472,171419,'Mantenimiento de Instalaciones'
473,4,473,155919,'Mantenimiento de Rutas'
474,4,474,177819,'Conservacion de Habitat Animal'
475,4,475,179519,'Mantenimiento de Instalaciones'
476,1,476,1423,20,'1'
477,1,477,1093,20,'2'
478,2,478,1313,20,NULL
479,2,479,1382,20,NULL
480,2,480,1467,20,NULL
481,2,481,1262,20,NULL
482,2,482,1147,20,NULL
483,3,483,1279,20,'Licenciatura en Zoologia'
484,3,484,1096,20,'Bachillerato en Botanica'
485,3,485,1273,20,'Doctorado en Vida Marina'
486,4,486,166720,'Mantenimiento de Rutas'
487,4,487,166120,'Conservacion de Habitat Animal'
488,4,488,173720,'Mantenimiento de Instalaciones'
489,4,489,166620,'Mantenimiento de Rutas'
490,4,490,176320,'Conservacion de Habitat Animal'
491,4,491,174520,'Mantenimiento de Instalaciones'
492,4,492,172320,'Mantenimiento de Rutas'
493,4,493,169420,'Conservacion de Habitat Animal'
494,4,494,172220,'Mantenimiento de Instalaciones'
495,4,495,151120,'Mantenimiento de Rutas'
496,4,496,167620,'Conservacion de Habitat Animal'
497,4,497,176720,'Mantenimiento de Instalaciones'
498,4,498,153520,'Mantenimiento de Rutas'
499,4,499,176720,'Conservacion de Habitat Animal'
500,4,500,171620,'Mantenimiento de Instalaciones'
501,1,501,1278,21,'1'
502,1,502,1225,21,'2'
503,2,503,1046,21,NULL
504,2,504,1376,21,NULL
505,2,505,1168,21,NULL
506,2,506,1014,21,NULL
507,2,507,1261,21,NULL
508,3,508,1198,21,'Licenciatura en Zoologia'
509,3,509,1195,21,'Bachillerato en Botanica'
510,3,510,1476,21,'Doctorado en Vida Marina'
511,4,511,153421,'Mantenimiento de Rutas'
512,4,512,165321,'Conservacion de Habitat Animal'
513,4,513,171121,'Mantenimiento de Instalaciones'
514,4,514,158821,'Mantenimiento de Rutas'
515,4,515,167321,'Conservacion de Habitat Animal'
516,4,516,172421,'Mantenimiento de Instalaciones'
517,4,517,151921,'Mantenimiento de Rutas'
518,4,518,177021,'Conservacion de Habitat Animal'
519,4,519,172421,'Mantenimiento de Instalaciones'
520,4,520,169821,'Mantenimiento de Rutas'
521,4,521,179621,'Conservacion de Habitat Animal'
522,4,522,170621,'Mantenimiento de Instalaciones'
523,4,523,171421,'Mantenimiento de Rutas'
524,4,524,164921,'Conservacion de Habitat Animal'
525,4,525,178621,'Mantenimiento de Instalaciones'
526,1,526,1128,22,'1'
527,1,527,1365,22,'2'
528,2,528,1123,22,NULL
529,2,529,1216,22,NULL
530,2,530,1224,22,NULL
531,2,531,1264,22,NULL
532,2,532,1129,22,NULL
533,3,533,1083,22,'Licenciatura en Zoologia'
534,3,534,1136,22,'Bachillerato en Botanica'
535,3,535,1138,22,'Doctorado en Vida Marina'
536,4,536,157322,'Mantenimiento de Rutas'
537,4,537,162222,'Conservacion de Habitat Animal'
538,4,538,179522,'Mantenimiento de Instalaciones'
539,4,539,170022,'Mantenimiento de Rutas'
540,4,540,177722,'Conservacion de Habitat Animal'
541,4,541,173622,'Mantenimiento de Instalaciones'
542,4,542,164422,'Mantenimiento de Rutas'
543,4,543,175022,'Conservacion de Habitat Animal'
544,4,544,174022,'Mantenimiento de Instalaciones'
545,4,545,166922,'Mantenimiento de Rutas'
546,4,546,177722,'Conservacion de Habitat Animal'
547,4,547,178222,'Mantenimiento de Instalaciones'
548,4,548,167222,'Mantenimiento de Rutas'
549,4,549,165922,'Conservacion de Habitat Animal'
550,4,550,174522,'Mantenimiento de Instalaciones'
551,1,551,1208,23,'1'
552,1,552,1299,23,'2'
553,2,553,1473,23,NULL
554,2,554,1024,23,NULL
555,2,555,1384,23,NULL
556,2,556,1298,23,NULL
557,2,557,1181,23,NULL
558,3,558,1264,23,'Licenciatura en Zoologia'
559,3,559,1130,23,'Bachillerato en Botanica'
560,3,560,1420,23,'Doctorado en Vida Marina'
561,4,561,153323,'Mantenimiento de Rutas'
562,4,562,175923,'Conservacion de Habitat Animal'
563,4,563,174523,'Mantenimiento de Instalaciones'
564,4,564,151423,'Mantenimiento de Rutas'
565,4,565,161523,'Conservacion de Habitat Animal'
566,4,566,175523,'Mantenimiento de Instalaciones'
567,4,567,160123,'Mantenimiento de Rutas'
568,4,568,166723,'Conservacion de Habitat Animal'
569,4,569,173323,'Mantenimiento de Instalaciones'
570,4,570,154923,'Mantenimiento de Rutas'
571,4,571,167923,'Conservacion de Habitat Animal'
572,4,572,177923,'Mantenimiento de Instalaciones'
573,4,573,168623,'Mantenimiento de Rutas'
574,4,574,180023,'Conservacion de Habitat Animal'
575,4,575,172323,'Mantenimiento de Instalaciones'
576,1,576,1110,24,'1'
577,1,577,1437,24,'2'
578,2,578,1082,24,NULL
579,2,579,1404,24,NULL
580,2,580,1271,24,NULL
581,2,581,1003,24,NULL
582,2,582,1354,24,NULL
583,3,583,1446,24,'Licenciatura en Zoologia'
584,3,584,1262,24,'Bachillerato en Botanica'
585,3,585,1141,24,'Doctorado en Vida Marina'
586,4,586,173024,'Mantenimiento de Rutas'
587,4,587,167824,'Conservacion de Habitat Animal'
588,4,588,178124,'Mantenimiento de Instalaciones'
589,4,589,174124,'Mantenimiento de Rutas'
590,4,590,171824,'Conservacion de Habitat Animal'
591,4,591,178324,'Mantenimiento de Instalaciones'
592,4,592,160424,'Mantenimiento de Rutas'
593,4,593,165524,'Conservacion de Habitat Animal'
594,4,594,172824,'Mantenimiento de Instalaciones'
595,4,595,156924,'Mantenimiento de Rutas'
596,4,596,177324,'Conservacion de Habitat Animal'
597,4,597,171124,'Mantenimiento de Instalaciones'
598,4,598,172524,'Mantenimiento de Rutas'
599,4,599,177324,'Conservacion de Habitat Animal'
600,4,600,170824,'Mantenimiento de Instalaciones'
601,1,601,1240,25,'1'
602,1,602,1224,25,'2'
603,2,603,1100,25,NULL
604,2,604,1261,25,NULL
605,2,605,1245,25,NULL
606,2,606,1477,25,NULL
607,2,607,1207,25,NULL
608,3,608,1371,25,'Licenciatura en Zoologia'
609,3,609,1032,25,'Bachillerato en Botanica'
610,3,610,1500,25,'Doctorado en Vida Marina'
611,4,611,168025,'Mantenimiento de Rutas'
612,4,612,167625,'Conservacion de Habitat Animal'
613,4,613,172725,'Mantenimiento de Instalaciones'
614,4,614,167425,'Mantenimiento de Rutas'
615,4,615,163525,'Conservacion de Habitat Animal'
616,4,616,174725,'Mantenimiento de Instalaciones'
617,4,617,158325,'Mantenimiento de Rutas'
618,4,618,178825,'Conservacion de Habitat Animal'
619,4,619,170925,'Mantenimiento de Instalaciones'
620,4,620,151325,'Mantenimiento de Rutas'
