idExcursion,idAlojamiento,Nombre,PrecioOrganizacion
60,60,'Vistamiento de fauna marina',87
61,61,'Vistamiento de fauna marina',99
62,62,'Vistamiento de fauna marina',100
63,63,'Vistamiento de fauna marina',80
64,64,'Vistamiento de fauna marina',79
65,65,'Vistamiento de fauna marina',77
66,66,'Vistamiento de fauna marina',88
67,67,'Vistamiento de fauna marina',81
68,68,'Vistamiento de fauna marina',94
69,69,'Vistamiento de fauna marina',85
70,70,'Vistamiento de fauna marina',77
71,71,'Vistamiento de fauna marina',84
72,72,'Vistamiento de fauna marina',100
73,73,'Vistamiento de fauna marina',88
74,74,'Vistamiento de fauna marina',87
75,75,'Vistamiento de fauna marina',76
76,76,'Vistamiento de fauna marina',89
77,77,'Vistamiento de fauna marina',76
78,78,'Vistamiento de fauna marina',85
79,79,'Vistamiento de fauna marina',79
80,80,'Vistamiento de fauna marina',97
81,81,'Vistamiento de fauna marina',96
82,82,'Vistamiento de fauna marina',86
83,83,'Vistamiento de fauna marina',84
84,84,'Vistamiento de fauna marina',99
85,85,'Vistamiento de fauna marina',75
86,86,'Vistamiento de fauna marina',79
87,87,'Vistamiento de fauna marina',95
88,88,'Vistamiento de fauna marina',94
89,89,'Vistamiento de fauna marina',96
90,90,'Vistamiento de fauna marina',77
91,91,'Vistamiento de fauna marina',75
92,92,'Vistamiento de fauna marina',92
93,93,'Vistamiento de fauna marina',76
94,94,'Vistamiento de fauna marina',78
95,95,'Vistamiento de fauna marina',86
96,96,'Vistamiento de fauna marina',80
97,97,'Vistamiento de fauna marina',80
98,98,'Vistamiento de fauna marina',88
99,99,'Vistamiento de fauna marina',100
100,100,'Vistamiento de fauna marina',100
101,1,'Tour por el bosque',94
102,2,'Tour por el bosque',100
103,3,'Tour por el bosque',80
104,4,'Tour por el bosque',80
105,5,'Tour por el bosque',91
106,6,'Tour por el bosque',80
107,7,'Tour por el bosque',90
108,8,'Tour por el bosque',90
109,9,'Tour por el bosque',93
110,10,'Tour por el bosque',87
111,11,'Tour por el bosque',92
112,12,'Tour por el bosque',85
113,13,'Tour por el bosque',98
114,14,'Tour por el bosque',82
115,15,'Tour por el bosque',80
116,16,'Tour por el bosque',83
117,17,'Tour por el bosque',83
118,18,'Tour por el bosque',100
119,19,'Tour por el bosque',86
120,20,'Tour por el bosque',91
121,21,'Tour por el bosque',90
122,22,'Tour por el bosque',98
123,23,'Tour por el bosque',100
124,24,'Tour por el bosque',85
125,25,'Tour por el bosque',91
126,26,'Tour por el bosque',95
127,27,'Tour por el bosque',92
128,28,'Tour por el bosque',86
129,29,'Tour por el bosque',93
130,30,'Tour por el bosque',80
131,31,'Tour por el bosque',86
132,32,'Tour por el bosque',100
133,33,'Tour por el bosque',97
134,34,'Tour por el bosque',84
135,35,'Tour por el bosque',93
136,36,'Tour por el bosque',99
137,37,'Tour por el bosque',93
138,38,'Tour por el bosque',93
139,39,'Tour por el bosque',99
140,40,'Tour por el bosque',99
141,41,'Tour por el bosque',95
142,42,'Tour por el bosque',98
143,43,'Tour por el bosque',82
144,44,'Tour por el bosque',80
145,45,'Tour por el bosque',94
146,46,'Tour por el bosque',83
147,47,'Tour por el bosque',85
148,48,'Tour por el bosque',91
149,49,'Tour por el bosque',90
150,50,'Tour por el bosque',87
151,51,'Tour por el bosque',85
152,52,'Tour por el bosque',83
153,53,'Tour por el bosque',87
154,54,'Tour por el bosque',87
155,55,'Tour por el bosque',100
156,56,'Tour por el bosque',98
157,57,'Tour por el bosque',93
158,58,'Tour por el bosque',83
159,59,'Tour por el bosque',96
160,60,'Tour por el bosque',97
161,61,'Tour por el bosque',82
162,62,'Tour por el bosque',90
163,63,'Tour por el bosque',97
164,64,'Tour por el bosque',81
165,65,'Tour por el bosque',82
166,66,'Tour por el bosque',85
167,67,'Tour por el bosque',92
168,68,'Tour por el bosque',92
169,69,'Tour por el bosque',86
170,70,'Tour por el bosque',93
171,71,'Tour por el bosque',82
172,72,'Tour por el bosque',85
173,73,'Tour por el bosque',84
174,74,'Tour por el bosque',83
175,75,'Tour por el bosque',91
176,76,'Tour por el bosque',95
177,77,'Tour por el bosque',97
178,78,'Tour por el bosque',80
179,79,'Tour por el bosque',84
180,80,'Tour por el bosque',96
181,81,'Tour por el bosque',88
182,82,'Tour por el bosque',85
183,83,'Tour por el bosque',92
184,84,'Tour por el bosque',88
185,85,'Tour por el bosque',86
186,86,'Tour por el bosque',86
187,87,'Tour por el bosque',88
188,88,'Tour por el bosque',89
189,89,'Tour por el bosque',96
190,90,'Tour por el bosque',82
191,91,'Tour por el bosque',87
192,92,'Tour por el bosque',82
193,93,'Tour por el bosque',80
194,94,'Tour por el bosque',98
195,95,'Tour por el bosque',95
196,96,'Tour por el bosque',100
197,97,'Tour por el bosque',85
198,98,'Tour por el bosque',98
199,99,'Tour por el bosque',91
200,100,'Tour por el bosque',100
